,Borough,Latitude,Longitude,Neighborhood,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue,26th Most Common Venue,27th Most Common Venue,28th Most Common Venue,29th Most Common Venue,30th Most Common Venue,31th Most Common Venue,32th Most Common Venue,33th Most Common Venue,34th Most Common Venue,35th Most Common Venue,36th Most Common Venue,37th Most Common Venue,38th Most Common Venue,39th Most Common Venue,40th Most Common Venue,41th Most Common Venue,42th Most Common Venue,43th Most Common Venue,44th Most Common Venue,45th Most Common Venue,46th Most Common Venue,47th Most Common Venue,48th Most Common Venue,49th Most Common Venue,50th Most Common Venue
76,H4R ,45.5088774,-73.6875187, Saint-Laurent Central,11,Italian Restaurant,Pizza Place,Convenience Store,Seafood Restaurant,Greek Restaurant,Sandwich Place,Bank,Thai Restaurant,Dim Sum Restaurant,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Yoga Studio,Dessert Shop,Department Store,Falafel Restaurant,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Event Space,Fast Food Restaurant,Farm,Gastropub,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gas Station,Farmers Market,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
77,H7R ,45.5248454,-73.8793845, Laval-sur-le-Lac,6,Harbor / Marina,Athletics & Sports,Soccer Field,Yoga Studio,Diner,Farm,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Dessert Shop,Dim Sum Restaurant,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Farmers Market,Filipino Restaurant,Fast Food Restaurant,Convenience Store,Hawaiian Restaurant,Hardware Store,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop
78,H9R ,45.4566767,-73.8067442, Pointe-Claire,13,Convenience Store,Train,Park,Coworking Space,Dim Sum Restaurant,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Dessert Shop,Creperie,Farmers Market,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cosmetics Shop,Cupcake Shop,Cuban Restaurant,Farm,Yoga Studio,Construction & Landscaping,Filipino Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop
79,H1S ,45.58671,-73.5969488, Saint-Léonard Southeast,12,Dessert Shop,Hockey Arena,Drugstore,Discount Store,Dim Sum Restaurant,Farm,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Dive Bar,Diner,Yoga Studio,Fast Food Restaurant,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Farmers Market,Filipino Restaurant,Convenience Store,Fish & Chips Shop,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Cosmetics Shop
80,H2S ,45.5507465,-73.5822897, Petite-Patrie Southwest,4,Grocery Store,Shopping Plaza,Pizza Place,Pharmacy,Ice Cream Shop,Sandwich Place,Yoga Studio,Dim Sum Restaurant,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Deli / Bodega,Dessert Shop,Department Store,Falafel Restaurant,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Event Space,Farm,Convenience Store,Farmers Market,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop,Filipino Restaurant
81,H3S ,45.4988496,-73.6239598, Côte-des-Neiges North,6,Coffee Shop,Middle Eastern Restaurant,Restaurant,Fast Food Restaurant,Bakery,Bar,Vietnamese Restaurant,Café,Farmers Market,Bookstore,Breakfast Spot,Liquor Store,Burger Joint,Grocery Store,Chinese Restaurant,Bus Station,Pub,Sandwich Place,English Restaurant,Butcher,Russian Restaurant,Cambodian Restaurant,Discount Store,Ramen Restaurant,Bank,Convenience Store,Supermarket,Sushi Restaurant,French Restaurant,Hotel,Park,Thai Restaurant,Mediterranean Restaurant,Pharmacy,Gift Shop,Drugstore,Curling Ice,Currency Exchange,Diner,Cycle Studio,Deli / Bodega,Department Store,Dessert Shop,Dive Bar,Dim Sum Restaurant,Falafel Restaurant,Dumpling Restaurant,Empanada Restaurant,Greek Restaurant,Gourmet Shop
82,H4S ,45.5088774,-73.6875187, Saint-Laurent Southwest,11,Italian Restaurant,Pizza Place,Convenience Store,Seafood Restaurant,Greek Restaurant,Sandwich Place,Bank,Thai Restaurant,Dim Sum Restaurant,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Yoga Studio,Dessert Shop,Department Store,Falafel Restaurant,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Event Space,Fast Food Restaurant,Farm,Gastropub,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gas Station,Farmers Market,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
83,H7S ,45.5384715,-73.7427541, Chomedey Northeast,6,Middle Eastern Restaurant,Sushi Restaurant,Falafel Restaurant,Hookah Bar,Grocery Store,Drugstore,Thrift / Vintage Store,Dim Sum Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Dive Bar,Discount Store,Diner,Yoga Studio,Dessert Shop,Farm,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Cosmetics Shop,Department Store,Fast Food Restaurant,Farmers Market,Gastropub,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gas Station,Construction & Landscaping,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop
84,H8S ,45.4486762,-73.7112039, Lachine East,6,Construction & Landscaping,German Restaurant,Train Station,Business Service,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Dim Sum Restaurant,Dessert Shop,Farmers Market,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Cosmetics Shop,Farm,Yoga Studio,Convenience Store,Filipino Restaurant,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
85,H9S ,45.4322014,-73.74201216135505,LÎle-Dorval,8,Boat or Ferry,Yoga Studio,Diner,Farm,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Dim Sum Restaurant,Fast Food Restaurant,Dessert Shop,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Farmers Market,Filipino Restaurant,Convenience Store,Fish & Chips Shop,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Cosmetics Shop
86,H1T ,45.5314955,-73.5973383, Rosemont North,6,Café,Coffee Shop,Restaurant,Bar,Clothing Store,French Restaurant,Print Shop,Supermarket,Ice Cream Shop,Climbing Gym,Tapas Restaurant,Portuguese Restaurant,Pizza Place,Asian Restaurant,Trail,Pet Store,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,Gym,Bookstore,Discount Store,Department Store,Dive Bar,Diner,Dim Sum Restaurant,Dessert Shop,Yoga Studio,Deli / Bodega,Cycle Studio,Currency Exchange,Dumpling Restaurant,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Drugstore,Farmers Market,Empanada Restaurant,English Restaurant,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint
87,H2T ,45.5218361,-73.5821731, Plateau Mont-Royal West,6,Café,Bakery,French Restaurant,Bar,Portuguese Restaurant,Bookstore,Burger Joint,Coffee Shop,Japanese Restaurant,Tea Room,Breakfast Spot,Cocktail Bar,South American Restaurant,Middle Eastern Restaurant,Restaurant,Clothing Store,Health Food Store,Vegetarian / Vegan Restaurant,Hardware Store,Gaming Cafe,Record Shop,Greek Restaurant,Church,Pizza Place,Furniture / Home Store,Gym / Fitness Center,Latin American Restaurant,Jazz Club,Pet Café,Cosmetics Shop,Nightclub,Moroccan Restaurant,Indian Restaurant,Mexican Restaurant,Diner,Empanada Restaurant,Lounge,Gastropub,Salvadoran Restaurant,Toy / Game Store,Vietnamese Restaurant,Sandwich Place,Sushi Restaurant,Thai Restaurant,Bus Line,Bank,English Restaurant,Automotive Shop,BBQ Joint,Dumpling Restaurant
88,H3T ,45.4988496,-73.6239598, Côte-des-Neiges Northeast,6,Coffee Shop,Middle Eastern Restaurant,Restaurant,Fast Food Restaurant,Bakery,Bar,Vietnamese Restaurant,Café,Farmers Market,Bookstore,Breakfast Spot,Liquor Store,Burger Joint,Grocery Store,Chinese Restaurant,Bus Station,Pub,Sandwich Place,English Restaurant,Butcher,Russian Restaurant,Cambodian Restaurant,Discount Store,Ramen Restaurant,Bank,Convenience Store,Supermarket,Sushi Restaurant,French Restaurant,Hotel,Park,Thai Restaurant,Mediterranean Restaurant,Pharmacy,Gift Shop,Drugstore,Curling Ice,Currency Exchange,Diner,Cycle Studio,Deli / Bodega,Department Store,Dessert Shop,Dive Bar,Dim Sum Restaurant,Falafel Restaurant,Dumpling Restaurant,Empanada Restaurant,Greek Restaurant,Gourmet Shop
89,H4T ,45.5088774,-73.6875187, Saint-Laurent Southeast,11,Italian Restaurant,Pizza Place,Convenience Store,Seafood Restaurant,Greek Restaurant,Sandwich Place,Bank,Thai Restaurant,Dim Sum Restaurant,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Yoga Studio,Dessert Shop,Department Store,Falafel Restaurant,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Event Space,Fast Food Restaurant,Farm,Gastropub,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gas Station,Farmers Market,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
90,H7T ,45.5384715,-73.7427541, Chomedey Northwest,6,Middle Eastern Restaurant,Sushi Restaurant,Falafel Restaurant,Hookah Bar,Grocery Store,Drugstore,Thrift / Vintage Store,Dim Sum Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Dive Bar,Discount Store,Diner,Yoga Studio,Dessert Shop,Farm,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Cosmetics Shop,Department Store,Fast Food Restaurant,Farmers Market,Gastropub,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gas Station,Construction & Landscaping,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop
91,H8T ,45.4486762,-73.7112039, Lachine West,6,Construction & Landscaping,German Restaurant,Train Station,Business Service,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Dim Sum Restaurant,Dessert Shop,Farmers Market,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Cosmetics Shop,Farm,Yoga Studio,Convenience Store,Filipino Restaurant,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
92,H1V ,45.5563739,-73.5386869, Maisonneuve,6,Farmers Market,Park,Bakery,Beer Store,French Restaurant,Café,Ice Cream Shop,Pharmacy,Gym / Fitness Center,Cupcake Shop,English Restaurant,Empanada Restaurant,Discount Store,Dumpling Restaurant,Event Space,Falafel Restaurant,Drugstore,Dive Bar,Yoga Studio,Diner,Dim Sum Restaurant,Farm,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cuban Restaurant,Dessert Shop,Filipino Restaurant,Fast Food Restaurant,Coworking Space,Hardware Store,Harbor / Marina,Gym Pool,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,Food Truck,Food & Drink Shop,Food
93,H2V ,45.5186167,-73.6068856, Outremont,6,Park,Italian Restaurant,Bakery,Restaurant,Tea Room,Deli / Bodega,American Restaurant,Spanish Restaurant,Greek Restaurant,Gourmet Shop,Pizza Place,Ice Cream Shop,Theater,Thai Restaurant,Yoga Studio,Diner,Dessert Shop,Discount Store,Dive Bar,Drugstore,Dumpling Restaurant,Dim Sum Restaurant,Currency Exchange,Department Store,Cycle Studio,English Restaurant,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Cosmetics Shop,Empanada Restaurant,Filipino Restaurant,Event Space,Falafel Restaurant,Gym / Fitness Center,Gym,Grocery Store,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop
94,H3V ,45.4988496,-73.6239598, Côte-des-Neiges East,6,Coffee Shop,Middle Eastern Restaurant,Restaurant,Fast Food Restaurant,Bakery,Bar,Vietnamese Restaurant,Café,Farmers Market,Bookstore,Breakfast Spot,Liquor Store,Burger Joint,Grocery Store,Chinese Restaurant,Bus Station,Pub,Sandwich Place,English Restaurant,Butcher,Russian Restaurant,Cambodian Restaurant,Discount Store,Ramen Restaurant,Bank,Convenience Store,Supermarket,Sushi Restaurant,French Restaurant,Hotel,Park,Thai Restaurant,Mediterranean Restaurant,Pharmacy,Gift Shop,Drugstore,Curling Ice,Currency Exchange,Diner,Cycle Studio,Deli / Bodega,Department Store,Dessert Shop,Dive Bar,Dim Sum Restaurant,Falafel Restaurant,Dumpling Restaurant,Empanada Restaurant,Greek Restaurant,Gourmet Shop
95,H4V ,45.4772716,-73.6637524, Côte Saint-Luc East,4,Shopping Mall,Movie Theater,Gym,Grocery Store,Pharmacy,Bank,Yoga Studio,Dim Sum Restaurant,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Deli / Bodega,Dessert Shop,Department Store,Falafel Restaurant,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Event Space,Farmers Market,Farm,Convenience Store,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop,Filipino Restaurant
96,H7V ,45.5384715,-73.7427541, Chomedey East,6,Middle Eastern Restaurant,Sushi Restaurant,Falafel Restaurant,Hookah Bar,Grocery Store,Drugstore,Thrift / Vintage Store,Dim Sum Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Dive Bar,Discount Store,Diner,Yoga Studio,Dessert Shop,Farm,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Cosmetics Shop,Department Store,Fast Food Restaurant,Farmers Market,Gastropub,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gas Station,Construction & Landscaping,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop
97,H1W ,45.5403861,-73.54154142918655, Hochelaga,6,Gym / Fitness Center,Ice Cream Shop,Convenience Store,Pharmacy,Gym Pool,Pool Hall,Coffee Shop,Park,Rock Climbing Spot,Dive Bar,Fast Food Restaurant,Bowling Alley,Sushi Restaurant,Pizza Place,Hotel,Hunting Supply,Vegetarian / Vegan Restaurant,Gas Station,Dessert Shop,Gift Shop,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Golf Course,Cupcake Shop,Diner,Cuban Restaurant,Gourmet Shop,Creperie,Greek Restaurant,Coworking Space,Grocery Store,Gym,Dim Sum Restaurant,German Restaurant,Discount Store,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop,Gastropub,Filipino Restaurant,Farmers Market,Cosmetics Shop
98,H2W ,45.5218361,-73.5821731, Plateau Mont-Royal South Central,6,Café,Bakery,French Restaurant,Bar,Portuguese Restaurant,Bookstore,Burger Joint,Coffee Shop,Japanese Restaurant,Tea Room,Breakfast Spot,Cocktail Bar,South American Restaurant,Middle Eastern Restaurant,Restaurant,Clothing Store,Health Food Store,Vegetarian / Vegan Restaurant,Hardware Store,Gaming Cafe,Record Shop,Greek Restaurant,Church,Pizza Place,Furniture / Home Store,Gym / Fitness Center,Latin American Restaurant,Jazz Club,Pet Café,Cosmetics Shop,Nightclub,Moroccan Restaurant,Indian Restaurant,Mexican Restaurant,Diner,Empanada Restaurant,Lounge,Gastropub,Salvadoran Restaurant,Toy / Game Store,Vietnamese Restaurant,Sandwich Place,Sushi Restaurant,Thai Restaurant,Bus Line,Bank,English Restaurant,Automotive Shop,BBQ Joint,Dumpling Restaurant
99,H3W ,45.4988496,-73.6239598, Côte-des-Neiges Southwest,6,Coffee Shop,Middle Eastern Restaurant,Restaurant,Fast Food Restaurant,Bakery,Bar,Vietnamese Restaurant,Café,Farmers Market,Bookstore,Breakfast Spot,Liquor Store,Burger Joint,Grocery Store,Chinese Restaurant,Bus Station,Pub,Sandwich Place,English Restaurant,Butcher,Russian Restaurant,Cambodian Restaurant,Discount Store,Ramen Restaurant,Bank,Convenience Store,Supermarket,Sushi Restaurant,French Restaurant,Hotel,Park,Thai Restaurant,Mediterranean Restaurant,Pharmacy,Gift Shop,Drugstore,Curling Ice,Currency Exchange,Diner,Cycle Studio,Deli / Bodega,Department Store,Dessert Shop,Dive Bar,Dim Sum Restaurant,Falafel Restaurant,Dumpling Restaurant,Empanada Restaurant,Greek Restaurant,Gourmet Shop
100,H4W ,45.4772716,-73.6637524, Côte Saint-Luc West,4,Shopping Mall,Movie Theater,Gym,Grocery Store,Pharmacy,Bank,Yoga Studio,Dim Sum Restaurant,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Deli / Bodega,Dessert Shop,Department Store,Falafel Restaurant,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Event Space,Farmers Market,Farm,Convenience Store,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop,Filipino Restaurant
101,H7W ,45.5384715,-73.7427541, Chomedey South,6,Middle Eastern Restaurant,Sushi Restaurant,Falafel Restaurant,Hookah Bar,Grocery Store,Drugstore,Thrift / Vintage Store,Dim Sum Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Dive Bar,Discount Store,Diner,Yoga Studio,Dessert Shop,Farm,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Cosmetics Shop,Department Store,Fast Food Restaurant,Farmers Market,Gastropub,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gas Station,Construction & Landscaping,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop
